datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
1959-10-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1959-10-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-07-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1960-08-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
