datetime,ES,cash,commission,total,returns,equity_curve,drawdown
1998-02-26,106375.0,3846.0999999999913,3.9000000000000004,110221.09999999999,0.005473398825591058,1.1022109999999996,0.0
1998-02-27,106200.0,3846.0999999999913,3.9000000000000004,110046.09999999999,-0.001587717778175013,1.1004609999999995,0.0017500000000001403
1998-03-02,105975.0,3846.0999999999913,3.9000000000000004,109821.09999999999,-0.0020445976731570115,1.0982109999999994,0.004000000000000226
1998-03-03,106700.0,3846.0999999999913,3.9000000000000004,110546.09999999999,0.0066016457675255324,1.1054609999999994,0.0
1998-03-04,105925.0,3846.0999999999913,3.9000000000000004,109771.09999999999,-0.007010649855580642,1.0977109999999994,0.007749999999999924
1998-03-05,104975.0,3846.0999999999913,3.9000000000000004,108821.09999999999,-0.008654372598980942,1.0882109999999994,0.017249999999999988
1998-03-06,106875.0,3846.0999999999913,3.9000000000000004,110721.09999999999,0.01745984923879651,1.1072109999999993,0.0
1998-03-09,106550.0,3846.0999999999913,3.9000000000000004,110396.09999999999,-0.0029353032077896746,1.1039609999999993,0.003249999999999975
1998-03-10,107725.0,3846.0999999999913,3.9000000000000004,111571.09999999999,0.01064349193495051,1.1157109999999992,0.0
1998-03-11,108125.0,3846.0999999999913,3.9000000000000004,111971.09999999999,0.003585157805202188,1.1197109999999992,0.0
1998-03-12,108375.0,3846.0999999999913,3.9000000000000004,112221.09999999999,0.002232718978379289,1.1222109999999992,0.0
1998-03-13,108025.0,3846.0999999999913,3.9000000000000004,111871.09999999999,-0.0031188430696188485,1.1187109999999991,0.0035000000000000586
1998-03-16,109200.0,3846.0999999999913,3.9000000000000004,113046.09999999999,0.010503159439748,1.130460999999999,0.0
1998-03-17,109350.0,3846.0999999999913,3.9000000000000004,113196.09999999999,0.0013268923032285773,1.131960999999999,0.0
1998-03-18,109725.0,3846.0999999999913,3.9000000000000004,113571.09999999999,0.003312834982830637,1.135710999999999,0.0
1998-03-19,110150.0,3846.0999999999913,3.9000000000000004,113996.09999999999,0.0037421491911233673,1.139960999999999,0.0
1998-03-20,111100.0,3846.0999999999913,3.9000000000000004,114946.09999999999,0.008333618430806045,1.149460999999999,0.0
1998-03-23,111850.0,3846.0999999999913,3.9000000000000004,115696.09999999999,0.006524797274548577,1.1569609999999988,0.0
