datetime,ZN,cash,commission,total,returns,equity_curve,drawdown
2003-10-01,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-02,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-03,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-06,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-07,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-08,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-09,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-10,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-14,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-15,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-16,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-17,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-20,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-21,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-22,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-23,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-24,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-27,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-28,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-29,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-30,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-10-31,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-03,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-04,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-05,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-06,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-07,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-10,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-12,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-13,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-14,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-17,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-18,0.0,99881.16249999977,101.39999999999986,99881.16249999977,0.0,0.9988116249999732,1.1547926874999905
2003-11-19,111804.6875,99767.38593749977,102.69999999999986,211572.07343749976,1.1182379954528487,2.115720734374946,0.03788357812501797
2003-11-20,112382.8125,99767.38593749977,102.69999999999986,212150.19843749976,0.0027325203681514143,2.1215019843749454,0.03210232812501834
2003-11-21,112437.5,99767.38593749977,102.69999999999986,212204.88593749976,0.0002577772747929252,2.1220488593749454,0.031555453125018396
2003-11-24,111804.6875,99767.38593749977,102.69999999999986,211572.07343749976,-0.0029820826094757447,2.1157207343749453,0.03788357812501841
2003-11-25,112085.9375,99767.38593749977,102.69999999999986,211853.32343749976,0.0013293342331548441,2.1185332343749455,0.03507107812501831
2003-11-26,111656.25,99767.38593749977,102.69999999999986,211423.63593749976,-0.0020282311036142753,2.114236359374946,0.03936795312501795
2003-11-28,110882.8125,99767.38593749977,102.69999999999986,210650.19843749976,-0.0036582357340058103,2.106501984374946,0.04710232812501758
2003-12-01,110382.8125,99767.38593749977,102.69999999999986,210150.19843749976,-0.0023736032707718513,2.1015019843749463,0.05210232812501747
2003-12-02,0.0,99876.39062499977,103.99999999999986,99876.39062499977,-0.5247380617882036,0.9987639062499732,1.1548404062499906
2003-12-03,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-04,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-05,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-08,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-09,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-10,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-11,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-12,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-15,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-16,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-17,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-18,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-19,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-22,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-23,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-24,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-26,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-29,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-30,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2003-12-31,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-02,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-05,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-06,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-07,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-08,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-09,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-12,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
2004-01-13,0.0,99876.39062499977,103.99999999999986,99876.39062499977,0.0,0.9987639062499732,1.1548404062499906
