datetime,ES,cash,commission,total,returns,equity_curve,drawdown
1998-04-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1998-04-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
1998-04-23,56900.0,98849.7,1.3,155749.7,0.5574970000000001,1.5574970000000001,0.0
1998-04-24,56150.0,98849.7,1.3,154999.7,-0.004815418585075948,1.549997,0.007500000000000062
1998-04-27,55125.0,98849.7,1.3,153974.7,-0.006612916024998805,1.539747,0.017750000000000155
1998-04-28,0.0,99969.15,2.6,99969.15,-0.3507430116765937,0.9996914999999998,0.5578055000000003
1998-04-29,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-04-30,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-01,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-04,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-05,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-06,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-07,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-08,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-11,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-12,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-13,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-14,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-15,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-18,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-19,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-20,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-21,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-22,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-26,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-27,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-28,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-05-29,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-01,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-02,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-03,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-04,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-05,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-08,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-09,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-10,0.0,99969.15,2.6,99969.15,0.0,0.9996914999999998,0.5578055000000003
1998-06-11,55262.5,98832.59999999999,3.9000000000000004,154095.09999999998,0.5414265300845309,1.5409509999999995,0.016546000000000616
1998-06-12,0.0,99936.79999999999,5.2,99936.79999999999,-0.35146023462134746,0.9993679999999997,0.5581290000000004
1998-06-15,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-16,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-17,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-18,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-19,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-22,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-23,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-24,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-25,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-26,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-29,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-06-30,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-01,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-02,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-06,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-07,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-08,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-09,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-10,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-13,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-14,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-15,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-16,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-17,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-20,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-21,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-22,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-23,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-24,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-27,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-28,0.0,99936.79999999999,5.2,99936.79999999999,0.0,0.9993679999999997,0.5581290000000004
1998-07-29,-57150.0,101082.24999999999,6.5,43932.249999999985,-0.5603996725930789,0.43932249999999984,1.1181745000000003
1998-07-30,-57975.0,101082.24999999999,6.5,43107.249999999985,-0.018778915261567497,0.43107249999999986,1.1264245000000002
1998-07-31,-56750.0,101082.24999999999,6.5,44332.249999999985,0.028417493577066466,0.44332249999999984,1.1141745000000003
1998-08-03,-56550.0,101082.24999999999,6.5,44532.249999999985,0.004511388436183594,0.44532249999999984,1.1121745000000003
1998-08-04,-54600.0,101082.24999999999,6.5,46482.249999999985,0.04378849036372512,0.4648224999999998,1.0926745000000002
1998-08-05,0.0,99991.44999999998,7.8,99991.44999999998,1.1511749108530678,0.9999144999999997,0.5575825000000004
1998-08-06,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-07,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-10,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-11,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-12,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-13,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-14,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-17,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-18,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-19,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-20,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-21,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-24,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-25,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-26,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-27,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-28,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-08-31,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-09-01,0.0,99991.44999999998,7.8,99991.44999999998,0.0,0.9999144999999997,0.5575825000000004
1998-09-02,-50012.5,100951.89999999998,9.1,50939.39999999998,-0.4905624430888842,0.5093939999999998,1.0481030000000002
1998-09-03,-49750.0,100951.89999999998,9.1,51201.89999999998,0.005153182016278235,0.5120189999999998,1.0454780000000004
1998-09-04,-49262.5,100951.89999999998,9.1,51689.39999999998,0.00952113105177732,0.5168939999999997,1.0406030000000004
1998-09-07,-50125.0,100951.89999999998,9.1,50826.89999999998,-0.01668620645625607,0.5082689999999997,1.0492280000000003
1998-09-08,-51787.5,100951.89999999998,9.1,49164.39999999998,-0.032709057605323166,0.49164399999999975,1.0658530000000004
1998-09-09,-50600.0,100951.89999999998,9.1,50351.89999999998,0.02415365589735674,0.5035189999999998,1.0539780000000003
